record_type,time,type,peer_address,prefix,next-hop,communities,as-path,filename,title
rib,1411848000.0,R,202.79.197.201,154.70.0.0/18,202.79.197.201,"{'1299:25400', '1299:4000', '1299:25000'}",133165 1299 3356 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.60,154.70.0.0/18,206.126.236.60,"{'3257:50002', '4436:999', '3257:30049', '4436:11611', '3257:51100', '3257:51102', '3257:8093'}",4436 3257 3356 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.172,154.70.0.0/18,206.126.236.172,{'6461:5997'},11039 6461 3356 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.24,154.70.0.0/18,206.126.236.24,"{'15399:30101', '3356:22', '11666:1000', '3356:500', '3356:123', '11666:1002', '3356:100', '3356:11078', '3356:2', '15399:114', '3356:2064'}",11666 3356 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.19,154.70.0.0/18,206.126.236.19,"{'3257:50002', '3257:30049', '3257:51100', '3257:51102', '3257:8093'}",3257 3356 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.61,154.70.0.0/18,206.126.236.61,"{'3257:50002', '4436:999', '3257:30049', '4436:11611', '3257:51100', '3257:51102', '3257:8093'}",4436 3257 3356 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.47,154.70.0.0/18,206.126.236.47,"{'19151:4000', '19151:65040', '15399:30101', '15399:114', '19151:64001'}",19151 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.25,154.70.0.0/18,206.126.236.25,set(),6079 3356 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.120,154.70.0.0/18,206.126.236.120,set(),41095 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.154,154.70.0.0/18,206.126.236.154,set(),13618 3356 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.26,154.70.0.0/18,206.126.236.26,"{'16559:500', '16559:65503'}",16559 6939 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.10,154.70.0.0/18,206.126.236.10,"{'4589:420', '4589:2', '2914:1001', '2914:2000', '2914:3000', '4589:10110', '4589:546', '2914:420'}",4589 2914 3356 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.76,154.70.0.0/18,206.126.236.76,set(),5769 6453 3356 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.37,154.70.0.0/18,206.126.236.37,set(),6939 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411848031.0,R,206.126.236.12,154.70.0.0/18,206.126.236.12,"{'2914:1001', '2914:3000', '2914:2000', '2914:420'}",2914 3356 15399,torg_2_2014-09-27 19:30:00_2014-09-27 20:30:00.csv,torg_2
rib,1411768801.0,R,202.79.197.159,154.70.0.0/18,202.79.197.159,"{'24482:8714', '24482:20', '15399:30101', '15399:114', '24482:3'}",24482 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768801.0,R,202.79.197.201,154.70.0.0/18,202.79.197.201,"{'1299:25400', '1299:4000', '1299:25000'}",133165 1299 3356 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.60,154.70.0.0/18,206.126.236.60,"{'3257:50002', '4436:999', '3257:30049', '4436:11611', '3257:51100', '3257:51102', '3257:8093'}",4436 3257 3356 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.24,154.70.0.0/18,206.126.236.24,"{'15399:30101', '3356:22', '11666:1000', '3356:500', '3356:123', '11666:1002', '3356:100', '3356:11078', '3356:2', '15399:114', '3356:2064'}",11666 3356 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.172,154.70.0.0/18,206.126.236.172,{'6461:5997'},11039 6461 3356 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.19,154.70.0.0/18,206.126.236.19,"{'3257:50002', '3257:30049', '3257:51100', '3257:51102', '3257:8093'}",3257 3356 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.61,154.70.0.0/18,206.126.236.61,"{'3257:50002', '4436:999', '3257:30049', '4436:11611', '3257:51100', '3257:51102', '3257:8093'}",4436 3257 3356 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.47,154.70.0.0/18,206.126.236.47,"{'19151:4000', '19151:65040', '15399:30101', '15399:114', '19151:64001'}",19151 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.25,154.70.0.0/18,206.126.236.25,set(),6079 3356 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.120,154.70.0.0/18,206.126.236.120,set(),41095 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.154,154.70.0.0/18,206.126.236.154,set(),13618 3356 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.26,154.70.0.0/18,206.126.236.26,"{'16559:500', '16559:65503'}",16559 6939 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.10,154.70.0.0/18,206.126.236.10,"{'4589:420', '4589:2', '2914:1001', '2914:2000', '2914:3000', '4589:10110', '4589:546', '2914:420'}",4589 2914 3356 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.76,154.70.0.0/18,206.126.236.76,set(),5769 6453 3356 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.37,154.70.0.0/18,206.126.236.37,set(),6939 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411768832.0,R,206.126.236.12,154.70.0.0/18,206.126.236.12,"{'2914:1001', '2914:3000', '2914:2000', '2914:420'}",2914 3356 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
update,1411768953.0,A,206.126.236.172,154.70.0.0/18,206.126.236.172,{'6461:5997'},11039 6461 3356 15399,torg_2_2014-09-26 21:30:00_2014-09-26 22:30:00.csv,torg_2
rib,1411790401.0,R,202.79.197.159,154.70.0.0/18,202.79.197.159,"{'24482:8714', '24482:20', '15399:30101', '15399:114', '24482:3'}",24482 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790401.0,R,202.79.197.201,154.70.0.0/18,202.79.197.201,"{'1299:25400', '1299:4000', '1299:25000'}",133165 1299 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.60,154.70.0.0/18,206.126.236.60,"{'3257:50002', '4436:999', '3257:30049', '4436:11611', '3257:51100', '3257:51102', '3257:8093'}",4436 3257 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.24,154.70.0.0/18,206.126.236.24,"{'15399:30101', '3356:22', '11666:1000', '3356:500', '3356:123', '11666:1002', '3356:100', '3356:11078', '3356:2', '15399:114', '3356:2064'}",11666 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.19,154.70.0.0/18,206.126.236.19,"{'3257:50002', '3257:30049', '3257:51100', '3257:51102', '3257:8093'}",3257 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.172,154.70.0.0/18,206.126.236.172,{'6461:5997'},11039 6461 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.61,154.70.0.0/18,206.126.236.61,"{'3257:50002', '4436:999', '3257:30049', '4436:11611', '3257:51100', '3257:51102', '3257:8093'}",4436 3257 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.47,154.70.0.0/18,206.126.236.47,"{'19151:4000', '19151:65040', '15399:30101', '15399:114', '19151:64001'}",19151 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.25,154.70.0.0/18,206.126.236.25,set(),6079 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.120,154.70.0.0/18,206.126.236.120,set(),41095 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.154,154.70.0.0/18,206.126.236.154,set(),13618 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.26,154.70.0.0/18,206.126.236.26,"{'16559:500', '16559:65503'}",16559 6939 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.10,154.70.0.0/18,206.126.236.10,"{'4589:420', '4589:2', '2914:1001', '2914:2000', '2914:3000', '4589:10110', '4589:546', '2914:420'}",4589 2914 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.76,154.70.0.0/18,206.126.236.76,set(),5769 6453 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.37,154.70.0.0/18,206.126.236.37,set(),6939 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
rib,1411790430.0,R,206.126.236.12,154.70.0.0/18,206.126.236.12,"{'2914:1001', '2914:3000', '2914:2000', '2914:420'}",2914 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
update,1411790577.0,A,206.126.236.172,154.70.0.0/18,206.126.236.172,{'6461:5997'},11039 6461 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
update,1411790581.0,A,206.126.236.61,154.70.0.0/18,206.126.236.61,"{'3257:50002', '4436:999', '3257:30049', '4436:11611', '3257:51100', '3257:51102', '3257:8093'}",4436 3257 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
update,1411790622.0,A,206.126.236.24,154.70.0.0/18,206.126.236.24,"{'15399:30101', '3356:22', '11666:1000', '3356:500', '3356:123', '11666:1002', '3356:100', '3356:11078', '3356:2', '15399:114', '3356:2064'}",11666 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
update,1411790624.0,A,206.126.236.19,154.70.0.0/18,206.126.236.19,"{'3257:50002', '3257:30049', '3257:51100', '3257:51102', '3257:8093'}",3257 3356 15399,torg_2_2014-09-27 03:30:00_2014-09-27 04:30:00.csv,torg_2
